INT	STRING	STRING	STRING	INT	STRING	INT	INT	STRING
228	ErjimimaJiesuo	ErjimimaJiesuo\ErjimimaJiesuo.layout.xml	ErjimimaJiesuo\ErjimimaJiesuo.lua	1	yxaq	0	0	
229	PetStudyNewSkill	PetStudyNewSkill\PetStudyNewSkill.layout.xml	PetStudyNewSkill\PetStudyNewSkill.lua	3	bhjj0	19	20	
230	TodayGameList	TodayGameList/TodayGameList.layout.xml	TodayGameList/TodayGameList.lua	1	bqfhbhzs	0	0	
231	DressPaint	DressPaint\DressPaint.layout.xml	DressPaint\DressPaint.lua	3	szssx	19	20	
232	Item_DunJiaShu	Item_DunJiaShu\Item_DunJiaShu.layout.xml	Item_DunJiaShu\Item_DunJiaShu.lua	3	asq	19	20	
233	SongliaoWarSingle	SongliaoWarSingle/SongliaoWarSingle.layout.xml	SongliaoWarSingle/SongliaoWarSingle.lua	0		0	0	
234	SongliaoWarMulti	SongliaoWarMulti/SongliaoWarMulti.layout.xml	SongliaoWarMulti/SongliaoWarMulti.lua	1		0	0	
235	UpdateInfo	UpdateInfo\UpdateInfo.layout.xml	UpdateInfo\UpdateInfo.lua	3	yxgg	19	20	
236	UnionFrame	UnionFrame\UnionFrame.layout.xml	UnionFrame\UnionFrame.lua	3	tzzz	19	20	
237	PlayerQuicklyEnter	PlayerQuicklyEnter/PlayerQuicklyEnter.layout.xml	PlayerQuicklyEnter/PlayerQuicklyEnter.lua	0		19	20	
238	ServerNew	ServerNew/ServerNew.layout.xml	ServerNew/ServerNew.lua	0		19	20	
239	TurnPlate	TurnPlate/TurnPlate.layout.xml	TurnPlate/TurnPlate.lua	0		19	20	
240	Xiulian	Xiulian\Xiulian.layout.xml	Xiulian/Xiulian.lua	2		19	20	
241	XiulianStudy	XiulianStudy\XiulianStudy.layout.xml	XiulianStudy/XiulianStudy.lua	3		19	20	
242	Item_DJS_Confirm	Item_DJS_Confirm\Item_DJS_Confirm.layout.xml	Item_DJS_Confirm/Item_DJS_Confirm.lua	3		19	20	
243	DWHecheng	DWHecheng/DWHecheng.layout.xml	DWHecheng/DWHecheng.lua	3	#N/A	19	20	
244	DWQianghua	DWQianghua/DWQianghua.layout.xml	DWQianghua/DWQianghua.lua	3	#N/A	19	20	
245	DWShike	DWShike/DWShike.layout.xml	DWShike/DWShike.lua	3	#N/A	19	20	
246	DWChaichu	DWChaichu/DWChaichu.layout.xml	DWChaichu/DWChaichu.lua	3	#N/A	19	20	
247	SelfShenDing	SelfShenDing/SelfShenDing.layout.xml	SelfShenDing/SelfShenDing.lua	3	#N/A	19	20	
248	ServerPaiming	ServerPaiming/ServerPaiming.layout.xml	ServerPaiming/ServerPaiming.lua	3	whhcdj	19	20	
249	LongwenUp	LongwenUp\LongwenUp.layout.xml	LongwenUp\LongwenUp.lua	3	LW	19	20	
250	LongwenStarUp	LongwenStarUp/LongwenStarUp.layout.xml	LongwenStarUp/LongwenStarUp.lua	3		19	20	
251	LongwenExtraPropertyUp	LongwenExtraPropertyUp/LongwenExtraPropertyUp.layout.xml	LongwenExtraPropertyUp/LongwenExtraPropertyUp.lua	3		19	20	
252	LongwenPropertyReset	LongwenPropertyReset/LongwenPropertyReset.layout.xml	LongwenPropertyReset/LongwenPropertyReset.lua	3		19	20	
253	LongwenExtraPropertyStudy2	LongwenExtraPropertyStudy2/LongwenExtraPropertyStudy2.layout.xml	LongwenExtraPropertyStudy2/LongwenExtraPropertyStudy2.lua	3		19	20	
254	LongwenExtraPropertyStudy	LongwenExtraPropertyStudy/LongwenExtraPropertyStudy.layout.xml	LongwenExtraPropertyStudy/LongwenExtraPropertyStudy.lua	3		19	20	
255	LongwenLevelUp	LongwenLevelUp/LongwenLevelUp.layout.xml	LongwenLevelUp/LongwenLevelUp.lua	3		19	20	
256	ZhenYuan	ZhenYuan/ZhenYuan.layout.xml	ZhenYuan/ZhenYuan.lua	2		19	20	
257	ZhenYuanActivation	ZhenYuanActivation/ZhenYuanActivation.layout.xml	ZhenYuanActivation\ZhenYuanActivation.lua	2		19	20	
258	ZhenYuanNingLian	ZhenYuanNingLian/ZhenYuanNingLian.layout.xml	ZhenYuanNingLian\ZhenYuanNingLian.lua	2		19	20	
259	SelfBaoJian	SelfBaoJian/SelfBaoJian.layout.xml	SelfBaoJian/SelfBaoJian.lua	0	#N/A	0	0	
260	EquipBaoJianlingju	EquipBaoJianlingju/EquipBaoJianlingju.layout.xml	EquipBaoJianlingju/EquipBaoJianlingju.lua	2		19	20	
261	EquipBaoJian_TianHuo_Tips	EquipBaoJian_TianHuo_Tips/EquipBaoJian_TianHuo_Tips.layout.xml	EquipBaoJian_TianHuo_Tips/EquipBaoJian_TianHuo_Tips.lua	2		19	20	
262	EquipBaoJian_YuLuan_Tips	EquipBaoJian_YuLuan_Tips/EquipBaoJian_YuLuan_Tips.layout.xml	EquipBaoJian_YuLuan_Tips/EquipBaoJian_YuLuan_Tips.lua	2		19	20	
263	EquipBaoJian_YunShui_Tips	EquipBaoJian_YunShui_Tips/EquipBaoJian_YunShui_Tips.layout.xml	EquipBaoJian_YunShui_Tips/EquipBaoJian_YunShui_Tips.lua	2		19	20	
264	DanrenFB	DanrenFB/DanrenFB.layout.xml	DanrenFB\DanrenFB.lua	2		19	20	
265	WuhunMagicUp_p	WuhunMagicUp_p/WuhunMagicUp_p.layout.xml	WuhunMagicUp_p/WuhunMagicUp_p.lua	3	whhcdj	19	20	
266	WuhunExtraPropertyDel	WuhunExtraPropertyDel/WuhunExtraPropertyDel.layout.xml	WuhunExtraPropertyDel/WuhunExtraPropertyDel.lua	3	whkzsx	19	20	
267	Wuhun	Wuhun/Wuhun.layout.xml	Wuhun/Wuhun.lua	2	whjs	34	20	
268	WuhunExtraPropertyUp	WuhunExtraPropertyUp/WuhunExtraPropertyUp.layout.xml	WuhunExtraPropertyUp/WuhunExtraPropertyUp.lua	3	whkzsx	19	20	
269	WuhunSkillStudy	WuhunSkillStudy/WuhunSkillStudy.layout.xml	WuhunSkillStudy/WuhunSkillStudy.lua	3	whjn	19	20	
270	WuhunMagicUp	WuhunMagicUp/WuhunMagicUp.layout.xml	WuhunMagicUp/WuhunMagicUp.lua	3	whhcdj	19	20	
271	WuhunSkillUp	WuhunSkillUp/WuhunSkillUp.layout.xml	WuhunSkillUp/WuhunSkillUp.lua	3	whjn	19	20	
272	Jincanxianli	Jincanxianli/Jincanxianli.layout.xml	Jincanxianli/Jincanxianli.lua	3		19	20	
273	SelfJunXian	SelfJunXian/SelfJunXian.layout.xml	SelfJunXian/SelfJunXian.lua	2		19	20	
275	SuperWeaponQH	SuperWeaponQH/SuperWeaponQH.layout.xml	SuperWeaponQH/SuperWeaponQH.lua	3		19	20	
276	SuperWeaponUp	SuperWeaponUp/SuperWeaponUp.layout.xml	SuperWeaponUp/SuperWeaponUp.lua	2		19	20	
277	FunctionBarRight_2	FunctionBarRight_2/FunctionBarRight_2.layout.xml	FunctionBarRight_2/FunctionBarRight_2.lua	0	#N/A	0	0	
279	TouZi	TouZi/TouZi.layout.xml	TouZi/TouZi.lua	3		19	20	
280	PetHuanhua	PetHuanhua/PetHuanhua.layout.xml	PetHuanhua/PetHuanhua.lua	3		19	20	
281	PetChangeModel	PetChangeModel/PetChangeModel.layout.xml	PetChangeModel/PetChangeModel.lua	3		19	20	
282	ZhenYuanGold	ZhenYuanGold/ZhenYuanGold.layout.xml	ZhenYuanGold/ZhenYuanGold.lua	1		19	20	
283	Valentine	Valentine/Valentine.layout.xml	Valentine/Valentine.lua	1		19	20	
284	BangHuiFuLi	BangHuiFuLi/BangHuiFuLi.layout.xml	BangHuiFuLi/BangHuiFuLi.lua	2		32	33	
285	VIP_Shop	VIP_Shop/VIP_Shop.layout.xml	VIP_Shop/VIP_Shop.lua	3		19	20	
286	Gemzhuoke	Gemzhuoke/Gemzhuoke.layout.xml	Gemzhuoke/Gemzhuoke.lua	3		19	20	
287	Gemfenli	Gemfenli/Gemfenli.layout.xml	Gemfenli/Gemfenli.lua	3		19	20	
288	TheFireStove	TheFireStove/TheFireStove.layout.xml	TheFireStove/TheFireStove.lua	3		19	20	
289	EquipEducation_Decompose	EquipEducation_Decompose/EquipEducation_Decompose.layout.xml	EquipEducation_Decompose/EquipEducation_Decompose.lua	3		19	20	
290	EquipEducation_Update	EquipEducation_Update/EquipEducation_Update.layout.xml	EquipEducation_Update/EquipEducation_Update.lua	3		19	20	
291	EquipEducation_Temper	EquipEducation_Temper/EquipEducation_Temper.layout.xml	EquipEducation_Temper/EquipEducation_Temper.lua	3		19	20	
292	EquipEducation_Transfer	EquipEducation_Transfer/EquipEducation_Transfer.layout.xml	EquipEducation_Transfer/EquipEducation_Transfer.lua	3		19	20	
293	SelfJingMai	JingMai/SelfJingMai.layout.xml	JingMai/JingMai.lua	2		19	20	
294	ChessBox	ChessBox/ChessBox.layout.xml	ChessBox/ChessBox.lua	1		0	0	
295	EquipLingPai_OperatingSJ	EquipLingPai_OperatingSJ\EquipLingPai_OperatingSJ.layout.xml	EquipLingPai_OperatingSJ\EquipLingPai_OperatingSJ.lua	3	asq	19	20	
296	EquipLingPai_OperatingXQ	EquipLingPai_OperatingXQ\EquipLingPai_OperatingXQ.layout.xml	EquipLingPai_OperatingXQ\EquipLingPai_OperatingXQ.lua	3	asq	19	20	
297	EquipLingPai_ShengJie	EquipLingPai_ShengJie\EquipLingPai_ShengJie.layout.xml	EquipLingPai_ShengJie\EquipLingPai_ShengJie.lua	3	asq	19	20	
299	EquipLingPai_OperatingZC	EquipLingPai_OperatingZC\EquipLingPai_OperatingZC.layout.xml	EquipLingPai_OperatingZC\EquipLingPai_OperatingZC.lua	3	asq	19	20	
300	EquipLingPai_OperatingJS	EquipLingPai_OperatingJS\EquipLingPai_OperatingJS.layout.xml	EquipLingPai_OperatingJS\EquipLingPai_OperatingJS.lua	3	asq	19	20	
301	AnqiCuidu	AnqiCuidu/AnqiCuidu.layout.xml	AnqiCuidu/AnqiCuidu.lua	1		19	20	
302	AnqiJinjie	AnqiJinjie/AnqiJinjie.layout.xml	AnqiJinjie/AnqiJinjie.lua	1		19	20	
303	AnqiLianDu	AnqiLianDu/AnqiLianDu.layout.xml	AnqiLianDu/AnqiLianDu.lua	1		19	20	
304	SweepAll	SweepAll/SweepAll.layout.xml	SweepAll/SweepAll.lua	2		19	20	
305	FuJiangTianLongHD	FuJiangTianLongHD/FuJiangTianLongHD.layout.xml	FuJiangTianLongHD/FuJiangTianLongHD.lua	1		19	20	
306	EquipNewStrengthen	EquipNewStrengthen/EquipNewStrengthen.layout.xml	EquipNewStrengthen/EquipNewStrengthen.lua	3		19	20	
307	VIP_KuaiJie	VIP_KuaiJie/VIP_KuaiJie.layout.xml	VIP_KuaiJie/VIP_KuaiJie.lua	3		19	20	
308	EquipEducation_ShengLing	EquipEducation_ShengLing/EquipEducation_ShengLing.layout.xml	EquipEducation_ShengLing/EquipEducation_ShengLing.lua	3		19	20	
309	JinBiJiaoZi	JinBiJiaoZi\JinBiJiaoZi.layout.xml	JinBiJiaoZi\JinBiJiaoZi.lua	2		19	20	
310	NewSalaryTask	NewSalaryTask/NewSalaryTask.layout.xml	NewSalaryTask/NewSalaryTask.lua	3		19	20	
311	Sns	Sns\Sns.layout.xml	Sns\Sns.lua	1	gzd	19	20	
312	Shop_Dresser	Shop_Dresser\Shop_Dresser.layout.xml	Shop_Dresser\Shop_Dresser.lua	1	gzd	19	20	
313	SnsGame	SnsGame/SnsGame.layout.xml	SnsGame/SnsGame.lua	1		0	0	
316	EquipEducation_JinJie	EquipEducation_JinJie/EquipEducation_JinJie.layout.xml	EquipEducation_JinJie/EquipEducation_JinJie.lua	3		19	20	
317	GemcomupDate	GemcomupDate/GemcomupDate.layout.xml	GemcomupDate/GemcomupDate.lua	3		19	20	
318	Jianghumingrentang	Jianghumingrentang/Jianghumingrentang.layout.xml	Jianghumingrentang/Jianghumingrentang.lua	3	mrt	19	20	
319	WLBook	WLBook\WLBook.layout.xml	WLBook\WLBook.lua	2		19	20	
320	Zhen_chonglou	Zhen_chonglou/Zhen_chonglou.layout.xml	Zhen_chonglou/Zhen_chonglou.lua	3		19	20	
321	DecorateWeapon	DecorateWeapon/DecorateWeapon.layout.xml	DecorateWeapon/DecorateWeapon.lua	3		19	20	
322	YbMarket	YbMarket\YbMarket.layout.xml	YbMarket\YbMarket.lua	1		0	0	
323	YbMarketSale	YbMarketSale\YbMarketSale.layout.xml	YbMarketSale\YbMarketSale.lua	3		0	0	
324	YbMarketUpItem	YbMarketUpItem\YbMarketUpItem.layout.xml	YbMarketUpItem\YbMarketUpItem.lua	3		0	0	
325	HolidayGiftSP	HolidayGiftSP/HolidayGiftSP.layout.xml	HolidayGiftSP/HolidayGiftSP.lua	1		0	0	
327	PetEquipSuitUp	PetEquipSuitUp/PetEquipSuitUp.layout.xml	PetEquipSuitUp/PetEquipSuitUp.lua	3	cwzb	0	0	
328	PetEquipSuitDepart	PetEquipSuitDepart/PetEquipSuitDepart.layout.xml	PetEquipSuitDepart/PetEquipSuitDepart.lua	3	cwzb	0	0	
329	Huoyuehaoli	Huoyuehaoli/Huoyuehaoli.layout.xml	Huoyuehaoli/Huoyuehaoli.lua	2	hyhl	19	20	
330	Infant_HeroChoice	Infant_HeroChoice/Infant_HeroChoice.layout.xml	Infant_HeroChoice/Infant_HeroChoice.lua	3		19	20	
331	Infant_SkillLevelUp	Infant_SkillLevelUp/Infant_SkillLevelUp.layout.xml	Infant_SkillLevelUp/Infant_SkillLevelUp.lua	3		19	20	
332	Infant	Infant/Infant.layout.xml	Infant/Infant.lua	3		19	20	
333	Infant_SkillReset	Infant_SkillReset/Infant_SkillReset.layout.xml	Infant_SkillReset/Infant_SkillReset.lua	3		19	20	
334	InfantCardGift	InfantCardGift/InfantCardGift.layout.xml	InfantCardGift/InfantCardGift.lua	3		19	20	
335	CardCompose	CardCompose/CardCompose.layout.xml	CardCompose/CardCompose.lua	3		19	20	
336	Cardtip	Cardtip/Cardtip.layout.xml	Cardtip/Cardtip.lua	1		0	0	
337	CardStrengthen	CardStrengthen/CardStrengthen.layout.xml	CardStrengthen/CardStrengthen.lua	3		19	20	
338	GemChange	GemChange/GemChange.layout.xml	GemChange/GemChange.lua	3		19	20	
339	SelectCharHeadFrame	SelectCharHeadFrame\SelectCharHeadFrame.layout.xml	SelectCharHeadFrame\SelectCharHeadFrame.lua	3	gbtx	19	20	
340	Martial_WuYi	Martial_WuYi/Martial_WuYi.layout.xml	Martial_WuYi/Martial_WuYi.lua	2		19	20	
341	SuperWeapon9_DIYSkill	SuperWeapon9_DIYSkill/SuperWeapon9_DIYSkill.layout.xml	SuperWeapon9_DIYSkill/SuperWeapon9_DIYSkill.lua	2		19	20	
342	SuperWeapon9_DIYSkill2	SuperWeapon9_DIYSkill2/SuperWeapon9_DIYSkill2.layout.xml	SuperWeapon9_DIYSkill2/SuperWeapon9_DIYSkill2.lua	2		19	20	
343	SuperWeaponUp2	SuperWeaponUp2/SuperWeaponUp2.layout.xml	SuperWeaponUp2/SuperWeaponUp2.lua	3		0	0	
344	SuperWeapon9_ShengJie	SuperWeapon9_ShengJie/SuperWeapon9_ShengJie.layout.xml	SuperWeapon9_ShengJie/SuperWeapon9_ShengJie.lua	3		19	20	
345	TheUIforGM	TheUIforGM\TheUIforGM.layout.xml	TheUIforGM\TheUIforGM.lua	3		19	20	
346	Agname_Kong	Agname_Kong/Agname_Kong.layout.xml	Agname_Kong/Agname_Kong.lua	1	27	19	20	
347	MonthlySignSP	MonthlySignSP/MonthlySignSP.layout.xml	MonthlySignSP/MonthlySignSP.lua	2		19	20	
348	NewSalaryTaskSP	NewSalaryTaskSP/NewSalaryTaskSP.layout.xml	NewSalaryTaskSP/NewSalaryTaskSP.lua	2		19	20	
349	OneDayGiftSP	OneDayGiftSP/OneDayGiftSP.layout.xml	OneDayGiftSP/OneDayGiftSP.lua	2		19	20	
350	YuShou_ZhuQue	YuShou_ZhuQue/YuShou_ZhuQue.layout.xml	YuShou_ZhuQue/YuShou_ZhuQue.lua	2		19	20	
351	YuShou_XuanWu	YuShou_XuanWu/YuShou_XuanWu.layout.xml	YuShou_XuanWu/YuShou_XuanWu.lua	2		19	20	
352	YuShou_QingLong	YuShou_QingLong/YuShou_QingLong.layout.xml	YuShou_QingLong/YuShou_QingLong.lua	2		19	20	
353	YuShou_BaiHu	YuShou_BaiHu/YuShou_BaiHu.layout.xml	YuShou_BaiHu/YuShou_BaiHu.lua	2		19	20	
354	SelfBaoJian_Tips	SelfBaoJian_Tips/SelfBaoJian_Tips.layout.xml	SelfBaoJian_Tips/SelfBaoJian_Tips.lua	1		0	0	
355	Ronglu	Ronglu/Ronglu.layout.xml	Ronglu/Ronglu.lua	1		0	0	
356	EquipEffectSelfTips	EquipEffectSelfTips/EquipEffectSelfTips.layout.xml	EquipEffectSelfTips/EquipEffectSelfTips.lua	2		19	20	
357	EquipEffectTargetTips	EquipEffectTargetTips/EquipEffectTargetTips.layout.xml	EquipEffectTargetTips/EquipEffectTargetTips.lua	2		19	20	
358	ModifyMenPai_Confirm	ModifyMenPai_Confirm/ModifyMenPai_Confirm.layout.xml	ModifyMenPai_Confirm/ModifyMenPai_Confirm.lua	3		19	20	
359	ModifyMenPai	ModifyMenPai/ModifyMenPai.layout.xml	ModifyMenPai/ModifyMenPai.lua	3		19	20	
360	ModifyMenPai_Select	ModifyMenPai_Select/ModifyMenPai_Select.layout.xml	ModifyMenPai_Select/ModifyMenPai_Select.lua	3		19	20	
361	BW_Match_Stage	BW_Match_Stage/BW_Match_Stage.layout.xml	BW_Match_Stage/BW_Match_Stage.lua	3		19	20	
362	BW_Match_Ing	BW_Match_Ing/BW_Match_Ing.layout.xml	BW_Match_Ing/BW_Match_Ing.lua	3		19	20	
364	EquipLingPai_Update	EquipLingPai_Update/EquipLingPai_Update.layout.xml	EquipLingPai_Update/EquipLingPai_Update.lua	3		19	20	
365	EquipLingPai_SkillQH	EquipLingPai_SkillQH/EquipLingPai_SkillQH.layout.xml	EquipLingPai_SkillQH/EquipLingPai_SkillQH.lua	3		19	20	
366	TaoZhuangLiHe	TaoZhuangLiHe/TaoZhuangLiHe.layout.xml	TaoZhuangLiHe/TaoZhuangLiHe.lua	3		19	20	
367	DWRonghe	DWRonghe/DWRonghe.layout.xml	DWRonghe/DWRonghe.lua	3		19	20	
368	Token_Shop	Token_Shop/Token_Shop.layout.xml	Token_Shop/Token_Shop.lua	3		19	20	
369	HD_LongZhengHandBook	HD_LongZhengHandBook/HD_LongZhengHandBook.layout.xml	HD_LongZhengHandBook/HD_LongZhengHandBook.lua	3		19	20	
370	ModifyMenPai_Preheat1	ModifyMenPai_Preheat1/ModifyMenPai_Preheat1.layout.xml	ModifyMenPai_Preheat1/ModifyMenPai_Preheat1.lua	3		19	20	
371	PlayerReturnRGDL	PlayerReturnRGDL/PlayerReturnRGDL.layout.xml	PlayerReturnRGDL/PlayerReturnRGDL.lua	3		19	20	
372	ZiNvDressPaint	ZiNvDressPaint/ZiNvDressPaint.layout.xml	ZiNvDressPaint/ZiNvDressPaint.lua	3		19	20	
373	Miyu_zhizuo	Miyu_zhizuo/Miyu_zhizuo.layout.xml	Miyu_zhizuo/Miyu_zhizuo.lua	3		19	20	
375	YouLongKa	YouLongKa/YouLongKa.layout.xml	YouLongKa/YouLongKa.lua	3		19	20	
376	YouLongKa2	YouLongKa2/YouLongKa2.layout.xml	YouLongKa2/YouLongKa2.lua	3		19	20	
377	EquipLingPai_Star	EquipLingPai_Star/EquipLingPai_Star.layout.xml	EquipLingPai_Star/EquipLingPai_Star.lua	3		19	20	
378	PetHuanSe	PetHuanSe/PetHuanSe.layout.xml	PetHuanSe/PetHuanSe.lua	3		19	20	
381	Rune_Stars	Rune_Stars\Rune_Stars.layout.xml	Rune_Stars\Rune_Stars.lua	3		19	20	星阵主界面
382	Rune_Stars_Cardtip	Rune_Stars_Cardtip\Rune_Stars_Cardtip.layout.xml	Rune_Stars_Cardtip\Rune_Stars_Cardtip.lua	1		-1	-1	星阵tips界面
383	Rune_Stars_Cardtip4	Rune_Stars_Cardtip4\Rune_Stars_Cardtip4.layout.xml	Rune_Stars_Cardtip4\Rune_Stars_Cardtip4.lua	1		-1	-1	星阵tips4界面
384	Rune_Stars_Reel	Rune_Stars_Reel\Rune_Stars_Reel.layout.xml	Rune_Stars_Reel\Rune_Stars_Reel.lua	3		19	20	星阵星卷技能界面
385	Rune_Stars_Skill	Rune_Stars_Skill\Rune_Stars_Skill.layout.xml	Rune_Stars_Skill\Rune_Stars_Skill.lua	3		19	20	星阵星卷技能升级界面
386	maozirateWeapon	maozirateWeapon\maozirateWeapon.layout.xml	maozirateWeapon\maozirateWeapon.lua	3		19	20	神器更改外观
##572	Decoratemaozi	Decoratemaozi/Decoratemaozi.layout.xml	Decoratemaozi/Decoratemaozi.lua	3		19	20	
573	EquipBaoJian_Transfer	EquipBaoJian_Transfer/EquipBaoJian_Transfer.layout.xml	EquipBaoJian_Transfer/EquipBaoJian_Transfer.lua	3		19	20	
577	haizinvsheng	haizinvsheng/haizinvsheng.layout.xml	haizinvsheng/haizinvsheng.lua	3		19	20	
578	CampaignTrack	CampaignTrack\CampaignTrack.layout.xml	CampaignTrack\CampaignTrack.lua	0		19	20	
579	MissionTrack	MissionTrack\MissionTrack.layout.xml	MissionTrack\MissionTrack.lua	0		19	20	
580	ModifyMenPai_HandBook	ModifyMenPai_HandBook\ModifyMenPai_HandBook.layout.xml	ModifyMenPai_HandBook\ModifyMenPai_HandBook.lua	2		19	20	转门派-指引手册界面
581	WuLin_StartEnd	WuLin_StartEnd\WuLin_StartEnd.layout.xml	WuLin_StartEnd\WuLin_StartEnd.lua	0		19	20	观山海开始结束界面
582	VIP_EquipItem	VIP_EquipItem/VIP_EquipItem.layout.xml	VIP_EquipItem/VIP_EquipItem.lua	1	9	19	20	GM在线权限
583	Packet_Temporary	Packet_Temporary\Packet_Temporary.layout.xml	Packet_Temporary\Packet_Temporary.lua	0		19	20	临时背包
584	TreasureBox_MBuy2	TreasureBox_MBuy2/TreasureBox_MBuy2.layout.xml	TreasureBox_MBuy2/TreasureBox_MBuy2.lua	1	9	19	20	九州行囊取出
585	ItemExchange	ItemExchange/ItemExchange.layout.xml	ItemExchange/ItemExchange.lua	1	9	19	20	物品兑换元宝
