INT	INT	INT	INT	INT	FLOAT	FLOAT	INT	INT	FLOAT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING	INT	INT	INT	INT	INT	STRING
64	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	20308001	1	-1	100	100		20308002	1	-1	100	100		20308003	1	-1	100	100		20308011	1	-1	100	100		20308012	1	-1	100	100		20308013	1	-1	100	100		20308021	1	-1	100	100		20308022	1	-1	100	100		20308023	1	-1	100	100		20308031	1	-1	100	100		20308032	1	-1	100	100		20308033	1	-1	100	100		20308041	1	-1	100	100		20308042	1	-1	100	100		20308043	1	-1	100	100		20308051	1	-1	100	100		20308052	1	-1	100	100		20308053	1	-1	100	100		20308193	1	-1	100	100	#G	20308194	1	-1	100	100	#G	20308195	1	-1	100	100	#G	20308205	1	-1	100	100	#G	20308206	1	-1	100	100	#G	20308207	1	-1	100	100	#G	20308217	1	-1	100	100	#G	20308218	1	-1	100	100	#G	20308219	1	-1	100	100																																																																																																																																											
65	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	20308061	1	-1	100	100		20308062	1	-1	100	100		20308063	1	-1	100	100		20308071	1	-1	100	100		20308072	1	-1	100	100		20308073	1	-1	100	100		20308081	1	-1	100	100		20308082	1	-1	100	100		20308083	1	-1	100	100		20308091	1	-1	100	100		20308092	1	-1	100	100		20308093	1	-1	100	100		20308131	1	-1	100	100		20308132	1	-1	100	100		20308141	1	-1	100	100		20308142	1	-1	100	100		20308151	1	-1	100	100		20308152	-1	-1	100	100																																																																																																																																																																																																	
66	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	20308101	1	-1	100	100		20308102	1	-1	100	100		20308103	1	-1	100	100		20308111	1	-1	100	100		20308112	1	-1	100	100		20308113	1	-1	100	100		20308121	1	-1	100	100		20308122	1	-1	100	100		20308123	1	-1	100	100																																																																																																																																																																																																																																																							
67	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	20308003	1	-1	100	100		20308004	1	-1	100	100		20308013	1	-1	100	100		20308014	1	-1	100	100		20308023	1	-1	100	100		20308024	1	-1	100	100		20308033	1	-1	100	100		20308034	1	-1	100	100		20308043	1	-1	100	100		20308044	1	-1	100	100		20308053	1	-1	100	100		20308054	1	-1	100	100		20308193	1	-1	100	100	#G	20308194	1	-1	100	100	#G	20308205	1	-1	100	100	#G	20308206	1	-1	100	100	#G	20308217	1	-1	100	100	#G	20308218	1	-1	100	100	#G																																																																																																																																																																																																
68	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	20308063	1	-1	100	100		20308064	1	-1	100	100		20308073	1	-1	100	100		20308074	1	-1	100	100		20308083	1	-1	100	100		20308084	1	-1	100	100		20308093	1	-1	100	100		20308094	1	-1	100	100		20308143	1	-1	100	100		20308144	1	-1	100	100		20308153	-1	-1	100	100		20308154	1	-1	100	100																																																																																																																																																																																																																																					
69	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	20308103	1	-1	100	100		20308104	1	-1	100	100		20308113	1	-1	100	100		20308114	1	-1	100	100		20308123	1	-1	100	100		20308124	1	-1	100	100																																																																																																																																																																																																																																																																									
70	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	10100001	1	-1	100	100		10101001	1	-1	100	100		10102001	1	-1	100	100		10103001	1	-1	100	100		10104001	1	-1	100	100		10105001	1	-1	100	100		10106001	1	-1	100	100	#G	10107001	1	-1	100	100	#G	10108001	1	-1	100	100	#G																																																																																																																																																																																																																																																						
71	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	10110001	1	-1	100	100		10110002	1	-1	100	100		10110003	1	-1	100	100		10111001	1	-1	100	100		10111002	1	-1	100	100		10111003	1	-1	100	100		10112001	1	-1	100	100		10112002	1	-1	100	100		10112003	1	-1	100	100		10113001	1	-1	100	100		10113002	1	-1	100	100		10113003	1	-1	100	100		10121001	1	-1	100	100		30301001	1	-1	100	100		30301011	1	-1	100	100		30301021	1	-1	100	100		30301031	1	-1	100	100		30301041	1	-1	100	100		30301051	1	-1	100	100		30301061	1	-1	100	100		30301071	1	-1	100	100		30301081	1	-1	100	100		30301091	1	-1	100	100		30301101	1	-1	100	100		30301111	1	-1	100	100		30301121	1	-1	100	100		30301131	1	-1	100	100		30301141	1	-1	100	100		30301042	1	-1	100	100		30301052	1	-1	100	100		30301062	1	-1	100	100		30301043	1	-1	100	100		30301053	1	-1	100	100		30301063	1	-1	100	100		0	1	-1	100	100																																																																																											
72	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	10120001	1	-1	100	100		10122001	1	-1	100	100		10121001	1	-1	100	100		30302001	1	-1	100	100		30302011	1	-1	100	100		30302021	1	-1	100	100		0	1	-1	100	100																																																																																																																																																																																																																																																																			
73	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	10100031	1	-1	100	100		10102012	1	-1	100	100		10102013	1	-1	100	100		0	1	-1	100	100																																																																																																																																																																																																																																																																																					
74	40	120	1	9	1	1	1	1	1	3600000	50	0		0	1	0	96	97	98	100	200	300	400	500	30508001	1	1	100	100		30508002	1	1	100	100		30508003	1	1	100	100		30508005	1	1	100	100		30508006	1	1	100	100		0	1	-1	100	100																																																																																																																																																																																																																																																																									
75	40	0	1	9	1	1	1	0	1	600000	5	1	../Public/Config/RandShop/60wufang.ini	0	1	0	96	97	98	100	200	300	400		0	1	-1	100	100																																																																																																																																																																																																																																																																																																							
76	40	0	1	9	1	1	1	0	1	600000	10	1	../Public/Config/RandShop/70wufang.ini	0	1	0	96	97	98	100	200	300	400		0	1	-1	100	100																																																																																																																																																																																																																																																																																																							
77	40	0	1	9	1	1	1	0	1	600000	15	1	../Public/Config/RandShop/80wufang.ini	0	1	0	96	97	98	100	200	300	400		0	1	-1	100	100																																																																																																																																																																																																																																																																																																							
78	40	0	1	9	1	1	1	0	1	600000	20	1	../Public/Config/RandShop/90wufang.ini	0	1	0	96	97	98	100	200	300	400		0	1	-1	100	100																																																																																																																																																																																																																																																																																																							
79	40	0	1	9	1	1	1	0	1	600000	25	1	../Public/Config/RandShop/100wufang.ini	0	1	0	96	97	98	100	200	300	400																																																																																																																																																																																																																																																																																																													
80	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	20102068	1	-1	100	100	#G	20102054	1	-1	100	100	#G	20102055	1	-1	100	100	#G	20102056	1	-1	100	100	#G	20102057	1	-1	100	100	#G	20102058	1	-1	100	100	#G	20102059	1	-1	100	100	#G	20102060	1	-1	100	100	#G	20102061	1	-1	100	100	#G	20102062	1	-1	100	100	#G	20102063	1	-1	100	100	#G	20102064	1	-1	100	100	#G	20102065	1	-1	100	100	#G	20102066	1	-1	100	100	#G	20102067	1	-1	100	100	#G	20102069	1	-1	100	100	#G	20102070	1	-1	100	100	#G	20102071	1	-1	100	100	#G	20102072	1	-1	100	100	#G	20102073	1	-1	100	100	#G	20102074	1	-1	100	100	#G	20102075	1	-1	100	100	#G	20102076	1	-1	100	100		20102081	1	-1	100	100	#G	0	1	-1	100	100																																																																																																																																																							
81	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30304103	1	-1	100	100	#G	30304089	1	-1	100	100	#G	30304090	1	-1	100	100	#G	30304091	1	-1	100	100	#G	30304092	1	-1	100	100	#G	30304093	1	-1	100	100	#G	30304094	1	-1	100	100	#G	30304095	1	-1	100	100	#G	30304096	1	-1	100	100	#G	30304097	1	-1	100	100	#G	30304098	1	-1	100	100	#G	30304099	1	-1	100	100	#G	30304100	1	-1	100	100	#G	30304101	1	-1	100	100	#G	30304102	1	-1	100	100	#G	30304104	1	-1	100	100	#G	30304105	1	-1	100	100	#G	30304106	1	-1	100	100	#G	30304107	1	-1	100	100	#G	30304108	1	-1	100	100	#G	30304109	1	-1	100	100	#G	30304110	1	-1	100	100	#G	30304111	1	-1	100	100	#G	30304112	1	-1	100	100	#G	0	1	-1	100	100																																																																																																																																																							
82	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	20101049	1	-1	100	100	#G	20101033	1	-1	100	100	#G	20101034	1	-1	100	100	#G	20101035	1	-1	100	100	#G	20101036	1	-1	100	100	#G	20101037	1	-1	100	100	#G	20101038	1	-1	100	100	#G	20101039	1	-1	100	100	#G	20101041	1	-1	100	100	#G	20101042	1	-1	100	100	#G	20101043	1	-1	100	100	#G	20101044	1	-1	100	100	#G	20101045	1	-1	100	100	#G	20101046	1	-1	100	100	#G	20101047	1	-1	100	100	#G	0	1	-1	100	100																																																																																																																																																																																																													
83	40	120	1	9	1	1	1	1	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30303064	1	-1	100	100	#G	30303065	1	-1	100	100	#G	30303066	1	-1	100	100	#G	30303067	1	-1	100	100	#G	30303068	1	-1	100	100	#G	30303069	1	-1	100	100	#G	30303070	1	-1	100	100	#G	30303071	1	-1	100	100	#G	30303072	1	-1	100	100	#G	30303073	1	-1	100	100	#G	30303074	1	-1	100	100	#G	30303075	1	-1	100	100	#G	30303076	1	-1	100	100	#G	30303077	1	-1	100	100	#G	30303080	1	-1	100	100	#G	0	1	-1	100	100																																																																																																																																																																																																													
91	40	0	1	9	1	1	1	1	1	100000	50	0		1	0	0	96	97	98	100	200	300	400	#G	30509001	1	-1	1000	100	#G	30509003	1	-1	1000	100	#G	30509002	1	-1	1000	100	#G	30509005	1	-1	1000	100	#G	30509006	1	-1	1000	100	#G																																																																																																																																																																																																																																																																														
101	40	0	1	9	1	1	1	0	1	3600000	5	1	../Public/Config/RandShop/randgemshop.ini	0	1	0	96	97	98	100	200	300	400																																																																																																																																																																																																																																																																																																													
102	40	0	1	9	1	1	1	0	1	100000	50	0		0	0	0	96	97	98	100	200	300	400	500	30402005	1	-1	100	100		30402006	1	-1	100	100		30402007	1	-1	100	100		30402008	1	-1	100	100		30402009	1	-1	100	100		30402010	1	-1	100	100		30402011	1	-1	100	100		30402013	1	-1	100	100		30402015	1	-1	100	100		30402017	1	-1	100	100		30402019	1	-1	100	100		30402071	1	-1	100	100																																																																																																																																																																																																																																					
103	40	0	1	9	1	1	1	0	1	3600000	5	1	../Public/Config/RandShop/dazaotu.ini	0	1	0	96	97	98	100	200	300	400																																																																																																																																																																																																																																																																																																													
104	40	0	1	9	1	1	2	0	1	1500000	10	1	../Public/Config/RandShop/shanedian.ini	0	1	0	96	97	98	100	200	300	400																																																																																																																																																																																																																																																																																																													
105	40	0	1	9	1	1	1	0	1	3600000	5	1	../Public/Config/RandShop/xunluozawu.ini	0	1	0	96	97	98	100	200	300	400																																																																																																																																																																																																																																																																																																													
106	40	0	1	9	1	1	2	0	1	600000	5	1	../Public/Config/RandShop/shide.ini	0	1	0	96	97	98	100	200	300	400																																																																																																																																																																																																																																																																																																													
107	40	0	1	9	1	1	1	0	1	7200000	50	0		0	0	0	96	97	98	100	200	300	400	500	20308005	1	1	100	100		20308015	1	1	100	100		20308025	1	1	100	100		20308035	1	1	100	100		20308045	1	1	100	100		20308055	1	1	100	100		20308197	1	1	100	100	#G	20308209	1	1	100	100	#G	20308221	1	1	100	100	#G	20308065	1	1	100	100	#G	20308075	1	1	100	100	#G	20308085	1	1	100	100	#G	20308095	1	1	100	100	#G	20308105	1	1	100	100	#G	20308115	1	1	100	100	#G	20308125	1	1	100	100	#G	20308135	1	1	100	100	#G	20308145	1	1	100	100	#G	20308155	1	1	100	100	#G																																																																																																																																																																																										
108	40	0	1	9	1	1	1	0	1	7200000	50	0		0	0	0	96	97	98	100	200	300	400	500	20308006	1	1	100	100		20308016	1	1	100	100		20308026	1	1	100	100		20308036	1	1	100	100		20308046	1	1	100	100	#G	20308056	1	1	100	100	#G	20308198	1	1	100	100	#G	20308210	1	1	100	100	#G	20308222	1	1	100	100	#G	20308066	1	1	100	100	#G	20308076	1	1	100	100	#G	20308086	1	1	100	100	#G	20308096	1	1	100	100	#G	20308106	1	1	100	100	#G	20308116	1	1	100	100	#G	20308126	1	1	100	100	#G	20308136	1	1	100	100	#G	20308146	1	1	100	100	#G	20308156	1	1	100	100	#G																																																																																																																																																																																										
109	40	0	1	9	1	1	1	0	1	7200000	3	1	../Public/Config/RandShop/miaojiang_randgemshop.ini	0	0	0	96	97	98	100	200	300	400		0	1	-1	100	100																																																																																																																																																																																																																																																																																																							
110	40	0	1	9	1	1	1	0	1	7200000	3	1	../Public/Config/RandShop/qiongzhou_randgemshop.ini	0	0	0	96	97	98	100	200	300	400																																																																																																																																																																																																																																																																																																													
111	40	0	1	9	1	1	1	0	1	7200000	3	1	../Public/Config/RandShop/huanglong_randgemshop.ini	0	0	0	96	97	98	100	200	300	400																																																																																																																																																																																																																																																																																																													
120	40	0	1	8	1	1	5	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	#G	10124149	1	-1	267	100	#G	10124150	1	-1	267	100	#G	10124151	1	-1	267	100	#G	10124152	1	-1	267	100	#G	10124153	1	-1	267	100	#G	10124904	1	-1	267	100	#G	10124122	1	-1	267	100	#G	10124102	1	-1	267	100	#G	10124101	1	-1	267	100	#G	10124100	1	-1	267	100	#G	10124099	1	-1	267	100	#G	10124098	1	-1	267	100	#G	10124097	1	-1	267	100	#G	10124096	1	-1	267	100	#G	10124095	1	-1	267	100	#G	10124094	1	-1	267	100	#G	10124093	1	-1	267	100	#G	10125025	1	-1	267	100	#G	10125026	1	-1	267	100	#G	10125027	1	-1	267	100	#G	10125028	1	-1	267	100	#G	10125029	1	-1	267	100	#G	10125030	1	-1	267	100	#G	10125031	1	-1	267	100	#G	10125032	1	-1	267	100	#G	10125033	1	-1	267	100	#G	10125034	1	-1	267	100	#G	10124121	1	-1	267	100	#G	10124902	1	-1	267	100	#G	10124009	1	-1	267	100	#G	10124010	1	-1	267	100	#G	10124011	1	-1	267	100	#G	10124012	1	-1	267	100	#G	10124013	1	-1	267	100	#G	10124014	1	-1	267	100	#G	10124015	1	-1	267	100	#G	10124016	1	-1	267	100	#G	10124017	1	-1	267	100	#G	10125035	1	-1	267	100	#G	10124120	1	-1	267	100	#G	10124901	1	-1	267	100	#G																																																						
121	40	0	1	8	1	1	5	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	#G	10124092	1	-1	467	100	#G	10124091	1	-1	467	100	#G	10124090	1	-1	467	100	#G	10124089	1	-1	467	100	#G	10124088	1	-1	467	100	#G	10124087	1	-1	467	100	#G	10124086	1	-1	467	100	#G	10124085	1	-1	467	100	#G	10124084	1	-1	467	100	#G	10124083	1	-1	467	100	#G	10124082	1	-1	467	100	#G	10124081	1	-1	467	100	#G	10124080	1	-1	467	100	#G	10124079	1	-1	467	100	#G	10124078	1	-1	467	100	#G	10124077	1	-1	467	100	#G	10125020	1	-1	467	100	#G	10124072	1	-1	467	100	#G	10124070	1	-1	467	100	#G	10124069	1	-1	467	100	#G	10124067	1	-1	467	100	#G	10125024	1	-1	467	100	#G	10125023	1	-1	467	100	#G	10124062	1	-1	467	100	#G	10125021	1	-1	467	100	#G	10124051	1	-1	467	100	#G	10125022	1	-1	467	100	#G	10124046	1	-1	467	100	#G	10124045	1	-1	467	100	#G	10124043	1	-1	467	100	#G	10124033	1	-1	467	100	#G	10124032	1	-1	467	100	#G	10124031	1	-1	467	100	#G	10124030	1	-1	467	100	#G	10124029	1	-1	467	100	#G	10124028	1	-1	467	100	#G	10124027	1	-1	467	100	#G	10124026	1	-1	467	100	#G	10124025	1	-1	467	100	#G	10124024	1	-1	467	100	#G	10124023	1	-1	467	100	#G	10124022	1	-1	467	100	#G	10124019	1	-1	467	100	#G	10124018	1	-1	467	100	#G																																				
122	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	20108001	1	-1	2	100		20108013	1	-1	2	100		20108025	1	-1	2	100		20108037	1	-1	2	100		20108049	1	-1	2	100		20108061	1	-1	2	100		20107001	1	-1	2	100		20108109	1	-1	2	100		20108085	1	-1	2	100		20108097	1	-1	2	100		20108073	1	-1	2	100		20108121	1	-1	2	100		20108133	1	-1	2	100		20108145	1	-1	2	100		20108157	1	-1	2	100		20108169	1	-1	2	100		20106001	1	-1	2	100		20107002	1	-1	2	100																																																																																																																																																																																																	
123	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	20108002	1	-1	2	100		20108014	1	-1	2	100		20108026	1	-1	2	100		20108038	1	-1	2	100		20108050	1	-1	2	100		20108062	1	-1	2	100		20107003	1	-1	2	100		20108110	1	-1	2	100		20108086	1	-1	2	100		20108098	1	-1	2	100		20108074	1	-1	2	100		20108122	1	-1	2	100		20108134	1	-1	2	100		20108146	1	-1	2	100		20108158	1	-1	2	100		20108170	1	-1	2	100		20106002	1	-1	2	100		20107004	1	-1	2	100																																																																																																																																																																																																	
124	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	20108003	1	-1	2	100		20108015	1	-1	2	100		20108027	1	-1	2	100		20108039	1	-1	2	100		20108051	1	-1	2	100		20108063	1	-1	2	100		20107005	1	-1	2	100		20108111	1	-1	2	100		20108087	1	-1	2	100		20108099	1	-1	2	100		20108075	1	-1	2	100		20108123	1	-1	2	100		20108135	1	-1	2	100		20108147	1	-1	2	100		20108159	1	-1	2	100		20108171	1	-1	2	100		20106003	1	-1	2	100		20107006	1	-1	2	100																																																																																																																																																																																																	
125	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	20108004	1	-1	3	100		20108016	1	-1	3	100		20108028	1	-1	3	100		20108040	1	-1	3	100		20108052	1	-1	3	100		20108064	1	-1	3	100		20107007	1	-1	3	100		20108112	1	-1	3	100		20108088	1	-1	3	100		20108100	1	-1	3	100		20108076	1	-1	3	100		20108124	1	-1	3	100		20108136	1	-1	3	100		20108148	1	-1	3	100		20108160	1	-1	3	100		20108172	1	-1	3	100		20106004	1	-1	3	100		20107008	1	-1	3	100																																																																																																																																																																																																	
126	40	0	1	8	1	1	5	1	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	20108005	1	-1	200	100		20108017	1	-1	200	100		20108029	1	-1	200	100		20108041	1	-1	200	100		20108053	1	-1	200	100		20108065	1	-1	200	100		20107009	1	-1	200	100		20108113	1	-1	200	100		20108089	1	-1	200	100		20108101	1	-1	200	100		20108077	1	-1	200	100		20108125	1	-1	200	100		20108137	1	-1	200	100		20108149	1	-1	200	100		20108161	1	-1	200	100		20108173	1	-1	200	100		20106005	1	-1	200	100		20107010	1	-1	200	100																																																																																																																																																																																																	
127	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	20108006	1	-1	3	100		20108018	1	-1	3	100		20108030	1	-1	3	100		20108042	1	-1	3	100		20108054	1	-1	3	100		20108066	1	-1	3	100		20107011	1	-1	3	100		20108114	1	-1	3	100		20108090	1	-1	3	100		20108102	1	-1	3	100		20108078	1	-1	3	100		20108126	1	-1	3	100		20108138	1	-1	3	100		20108150	1	-1	3	100		20108162	1	-1	3	100		20108174	1	-1	3	100		20106006	1	-1	3	100		20107012	1	-1	3	100																																																																																																																																																																																																	
128	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	20108007	1	-1	4	100		20108019	1	-1	4	100		20108031	1	-1	4	100		20108043	1	-1	4	100		20108055	1	-1	4	100		20108067	1	-1	4	100		20107013	1	-1	4	100		20108115	1	-1	4	100		20108091	1	-1	4	100		20108103	1	-1	4	100		20108079	1	-1	4	100		20108127	1	-1	4	100		20108139	1	-1	4	100		20108151	1	-1	4	100		20108163	1	-1	4	100		20108175	1	-1	4	100		20106007	1	-1	4	100		20107014	1	-1	4	100																																																																																																																																																																																																	
129	40	0	1	8	1	1	5	1	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	20108008	1	-1	200	100		20108020	1	-1	200	100		20108032	1	-1	200	100		20108044	1	-1	200	100		20108056	1	-1	200	100		20108068	1	-1	200	100		20107015	1	-1	200	100		20108116	1	-1	200	100		20108092	1	-1	200	100		20108104	1	-1	200	100		20108080	1	-1	200	100		20108128	1	-1	200	100		20108140	1	-1	200	100		20108152	1	-1	200	100		20108164	1	-1	200	100		20108176	1	-1	200	100		20106008	1	-1	200	100		20107016	1	-1	200	100																																																																																																																																																																																																	
130	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	20108009	1	-1	6	100		20108021	1	-1	6	100		20108033	1	-1	6	100		20108045	1	-1	6	100		20108057	1	-1	6	100		20108069	1	-1	6	100		20107017	1	-1	6	100		20108117	1	-1	6	100		20108093	1	-1	6	100		20108105	1	-1	6	100		20108081	1	-1	6	100		20108129	1	-1	6	100		20108141	1	-1	6	100		20108153	1	-1	6	100		20108165	1	-1	6	100		20108177	1	-1	6	100		20106009	1	-1	6	100																																																																																																																																																																																																							
131	40	0	1	8	1	1	6	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	20108010	1	-1	6	100		20108022	1	-1	6	100		20108034	1	-1	6	100		20108046	1	-1	6	100		20108058	1	-1	6	100		20108070	1	-1	6	100		20107018	1	-1	6	100		20108118	1	-1	6	100		20108094	1	-1	6	100		20108106	1	-1	6	100		20108082	1	-1	6	100		20108130	1	-1	6	100		20108142	1	-1	6	100		20108154	1	-1	6	100		20108166	1	-1	6	100		20108178	1	-1	6	100		20106010	1	-1	6	100																																																																																																																																																																																																							
#宝宝商店132 133 134 135																																																																																																																																																																																																																																																																																																																																				
132	40	0	1	8	1	1	5	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	30310144	1	-1	1320	100	 	30310135	1	-1	1320	100	 	30310134	1	-1	1320	100	 	30310133	1	-1	1320	100	 	30310132	1	-1	1320	100	 	30310143	1	-1	1320	100	 	30310142	1	-1	1320	100	 	30310140	1	1320	1320	100	 	30310139	1	-1	1320	100	 	30310138	1	-1	1320	100	 	30310137	1	-1	1320	100	 	30310141	1	-1	1320	100	 	30310136	1	-1	1320	100	 	30310131	1	-1	1320	100	 	30310130	1	-1	1320	100	 	30310129	1	-1	1320	100	 	30310128	1	-1	1320	100	 	30310127	1	-1	1320	100	 	30310126	1	-1	1320	100	 	30310125	1	-1	1320	100	 	30310124	1	-1	1320	100	 	30310123	1	-1	1320	100	 	30310122	1	-1	750	100	 	30310121	1	-1	1016	100	 	30310120	1	-1	750	100	 	30310119	1	-1	1320	100	 	30310118	1	-1	1016	100	 	30310117	1	-1	1320	100	 	30310116	1	-1	1320	100	 	30310115	1	-1	1016	100	 	30310112	1	-1	750	100	 	30310111	1	-1	750	100	 	30310110	1	-1	750	100	 	30310109	1	-1	1320	100	 	30310108	1	-1	1320	100	 	30310107	1	-1	750	100	 	30310106	1	-1	750	100	 	30310093	1	-1	750	100	 	30310092	1	-1	1320	100	 	30309923	1	-1	1320	100	 	30309916	1	-1	1320	100	 	30309917	1	-1	1320	100	 	30309918	1	-1	750	100	 	30309919	1	-1	750	100	 	30309920	1	-1	750	100	 	30309921	1	-1	750	100	 	30309927	1	-1	1320	100	 	30309928	1	-1	1320	100	 												
133	40	0	1	8	1	1	5	0	1	600000	50	0		0	0	0	96	97	98	100	200	300	400	500	30402100	1	-1	80	100	 	30402102	1	-1	80	100	 	30402104	1	-1	80	100	 	30402106	1	-1	80	100	 	30402120	1	-1	80	100	 	30402124	1	-1	80	100	 	30402122	1	-1	80	100	 	30402025	1	-1	140	100	 	30402096	1	-1	333	100	#G	30402097	1	-1	333	100	#G	30402098	1	-1	333	100	#G	30402099	1	-1	333	100	#G	30402029	1	-1	66	100	 	30402035	1	-1	66	100	 	30402045	1	-1	88	100	 	30402091	1	-1	120	100	 	30402093	1	-1	100	100	 	30402051	1	-1	88	100	 	30402052	1	-1	88	100	 	30402053	1	-1	88	100	 	30402054	1	-1	88	100	 	30402033	1	-1	66	100	 	30402037	1	-1	66	100	 	30402039	1	-1	66	100	 	30402041	1	-1	66	100	 	30402043	1	-1	66	100	 	30402081	1	-1	66	100	 	30402082	1	-1	66	100	 	30402083	1	-1	66	100	 	30402084	1	-1	66	100	 	30402085	1	-1	66	100	 	30402086	1	-1	66	100	 	30402055	1	-1	66	100	 	30402059	1	-1	66	100	 	30402047	1	-1	66	100	 	30402049	1	-1	66	100	 	30402061	1	-1	66	100	 	30402063	1	-1	66	100	 	30402065	1	-1	66	100	 	30402067	1	-1	66	100	 	30402069	1	-1	66	100	 	30402073	1	-1	66	100	 	30402075	1	-1	66	100	 	30402077	1	-1	66	100	 	30402079	1	-1	66	100	 																														
